no,date,num
1,2020-02-01,0
2,2020-02-02,0
3,2020-02-03,0
4,2020-02-04,0
5,2020-02-05,0
6,2020-02-06,0
7,2020-02-07,0
8,2020-02-08,0
9,2020-02-09,0
10,2020-02-10,0
11,2020-02-11,0
12,2020-02-12,0
13,2020-02-13,0
14,2020-02-14,0
15,2020-02-15,0
16,2020-02-16,0
17,2020-02-17,0
18,2020-02-18,1
19,2020-02-19,27
20,2020-02-20,12
21,2020-02-21,44
22,2020-02-22,67
23,2020-02-23,136
24,2020-02-24,152
25,2020-02-25,54
26,2020-02-26,184
27,2020-02-27,340
28,2020-02-28,296
29,2020-02-29,742
30,2020-03-01,512
31,2020-03-02,517
32,2020-03-03,520
33,2020-03-04,398
34,2020-03-05,326
35,2020-03-06,367
36,2020-03-07,390
37,2020-03-08,297
38,2020-03-09,190
39,2020-03-10,92
40,2020-03-11,131
41,2020-03-12,72
42,2020-03-13,61
43,2020-03-14,62
44,2020-03-15,41
45,2020-03-16,35
46,2020-03-17,32
47,2020-03-18,46
48,2020-03-19,97
49,2020-03-20,34
50,2020-03-21,69
51,2020-03-22,43
52,2020-03-23,24
53,2020-03-24,31
54,2020-03-25,14
55,2020-03-26,26
56,2020-03-27,34
57,2020-03-28,71
58,2020-03-29,23
59,2020-03-30,14
60,2020-03-31,60
61,2020-04-01,20
62,2020-04-02,21
63,2020-04-03,9
64,2020-04-04,27
65,2020-04-05,7
66,2020-04-06,13
67,2020-04-07,13
68,2020-04-08,9
69,2020-04-09,4
70,2020-04-10,0
71,2020-04-11,7
72,2020-04-12,2
73,2020-04-13,3
74,2020-04-14,3
75,2020-04-15,1
76,2020-04-16,4
77,2020-04-17,0
78,2020-04-18,3
79,2020-04-19,2
80,2020-04-20,1
81,2020-04-21,2
82,2020-04-22,1
83,2020-04-23,4
84,2020-04-24,3
85,2020-04-25,2
86,2020-04-26,1
87,2020-04-27,1
88,2020-04-28,2
89,2020-04-29,3
90,2020-04-30,0
91,2020-05-01,0
92,2020-05-02,0
93,2020-05-03,4
94,2020-05-04,0
95,2020-05-05,0
96,2020-05-06,0
97,2020-05-07,0
98,2020-05-08,3
99,2020-05-09,0
100,2020-05-10,2
101,2020-05-11,0
102,2020-05-12,1
103,2020-05-13,3
104,2020-05-14,0
105,2020-05-15,3
106,2020-05-16,1
107,2020-05-17,1
108,2020-05-18,1
109,2020-05-19,0
110,2020-05-20,1
111,2020-05-21,0
112,2020-05-22,0
113,2020-05-23,1
114,2020-05-24,0
115,2020-05-25,1
116,2020-05-26,1
117,2020-05-27,3
118,2020-05-28,2
119,2020-05-29,0
120,2020-05-30,2
121,2020-05-31,1
122,2020-06-01,1
123,2020-06-02,0
124,2020-06-03,1
125,2020-06-04,0
126,2020-06-05,1
127,2020-06-06,0
128,2020-06-07,1
129,2020-06-08,1
130,2020-06-09,0
131,2020-06-10,0
132,2020-06-11,0
133,2020-06-12,1
134,2020-06-13,3
135,2020-06-14,2
136,2020-06-15,0
137,2020-06-16,0
138,2020-06-17,1
139,2020-06-18,1
140,2020-06-19,0
141,2020-06-20,2
142,2020-06-21,1
143,2020-06-22,1
144,2020-06-23,1
145,2020-06-24,2
146,2020-06-25,0
147,2020-06-26,0
148,2020-06-27,1
149,2020-06-28,0
150,2020-06-29,2
151,2020-06-30,0
152,2020-07-01,1
153,2020-07-02,3
154,2020-07-03,11
155,2020-07-04,1
156,2020-07-05,0
157,2020-07-06,2
158,2020-07-07,1
159,2020-07-08,1
160,2020-07-09,0
161,2020-07-10,0
162,2020-07-11,0
163,2020-07-12,0
164,2020-07-13,1
165,2020-07-14,0
166,2020-07-15,0
167,2020-07-16,2
168,2020-07-17,0
169,2020-07-18,3
170,2020-07-19,0
